659,NCAPG2
660,TMEM242
661,POTEJ
662,XRCC6BP1
663,MRPL32
664,MAT2A
665,COMMD3
666,RGPD2
667,RBMX2
668,TTI1
669,EMC2
670,EMC4
671,XRCC5
672,TYRO3
673,NKAIN2
674,ETV6
675,CNGA1
676,MUM1L1
677,NXF2
678,CCDC115
679,CDC26
680,PPAN
681,IPCEF1
682,TUBB2B
683,ZC3H3
684,RAD52
685,RPUSD4
686,PALM2-AKAP2
687,MTPAP
688,NSMCE4A
689,ZNF98
690,ADAR
691,ACTR8
692,NDUFB1
693,ARFRP1
694,FBXO25
695,MAP1LC3B
696,GATAD1
697,EIF4B
698,NDUFC2
699,MARCH5
700,UROS
701,ATP6V1D
702,HEPN1
703,ADSL
704,KMT2D
705,ING3
706,IPPK
707,GATS
708,AURKA
709,CFH
710,ACSL4
711,EMC1
712,MRPL24
713,PPP2R3C
714,CMC1
715,HIRA
716,EXOC8
717,RCL1
718,API5
719,ZRANB2
720,UBE2M
721,ANKRD65
722,OXA1L
723,TTI2
724,URB1
725,PDC
726,FANCF
727,ANKRD11
728,IFIT2
729,VPS41
730,NCOA4
731,LRRC39
732,VCX2
733,FLRT1
734,MAEA
735,RPL26L1
736,STYX
737,EHMT2
738,ACTG1
739,NDUFS7
740,CMIP
741,ORC2
742,TTC37
743,C3orf27
744,OCM2
745,C5orf15
746,YPEL5
747,WRB
748,WASL
749,CCDC69
750,AHCTF1
751,EP400
752,CLCN3
753,CEP55
754,ZNF780A
755,PKM
756,WDR24
757,EXOC7
758,GOSR2
759,ITGB1
760,ATP2C1
761,NUP88
762,AMD1
763,NAF1
764,NDUFAF7
765,UFM1
766,PTAR1
767,NRD1
768,WDR25
769,NOL12
770,OIP5
771,CDK12
772,ZNF85
773,ZNF143
774,ABCA13
775,MRPS14
776,METTL5
777,AMY2A
778,PGS1
779,ZDHHC3
780,KRTAP21-1
781,CCDC9
782,NCDN
783,POC1A
784,SLC25A3
785,RBBP5
786,TOE1
787,CEBPZ
788,ATP6AP1
789,KPNA2
790,SCGB1C1
791,MKLN1
792,PSMF1
793,C11orf83
794,TOMM70A
795,RPAP3
796,R3HDM1
797,RNF219
798,EIF1AY
799,DPPA3
800,C11orf57
801,GFER
802,ASNA1
803,PEAR1
804,COMMD5
805,RBM12
806,MPP6
807,ZWINT
808,ORC3
809,THOC6
810,NUMA1
811,VPS16
812,VDAC2
813,TBL3
814,TMEM258
815,SLC9B1
816,SAR1A
817,GLMN
818,LCE2B
819,MORF4L1
820,RPS6KA6
821,HSPA5
822,ATP13A1
823,ATP5G2
824,COG6
825,NFS1
826,SREK1IP1
827,MLST8
828,FAM177A1
829,ADSS
830,DNAJA3
831,DHX30
832,CDK2
833,DHX38
834,AGL
835,HS6ST1
836,CDH24
837,AGR3
838,C4orf27
839,ALKBH8
840,HSPA8
841,SETDB1
842,TNFSF4
843,SDHC
844,TRIM8
845,LARP4
846,NDUFA5
847,RNF103-CHMP3
848,LRRC37A3
849,TBC1D28
850,CCNB1
851,EMC3
852,C13orf45
853,PRAMEF5
854,RWDD4
855,YME1L1
856,PPP1R2
857,BANK1
858,COX6A1
859,CAPZB
860,XRCC3
861,ALKBH3
862,LDHAL6B
863,TAF12
864,KRTAP5-8
865,GUCA1C
866,RNPC3
867,CUL3
868,C10orf107
869,BRD7
870,MED15
871,ARL14EP
872,GOT2
873,UBE3B
874,KIDINS220
875,HAUS8
876,GEMIN5
877,JPH1
878,TPI1
879,ASUN
