Gene,Score,Bucket
OSGEP,37.479,5
DDX41,37.467,10
RINT1,37.445,10
KDM8,37.444,4
MTG1,37.444,10
PEX13,37.444,10
TDGF1,37.444,4
ADRM1,37.375,4
ZNF622,37.375,10
NELFB,37.364,9
ATP5J2,37.25,5
FANCC,37.25,9
HSD17B4,37.25,4
PPP1CC,37.25,4
FAM50A,37.216,9
RNF168,37.194,10
CDAN1,37.189,5
CRCP,37.182,6
NFYB,37.174,9
WDR48,37.173,4
CINP,37.169,10
PTCD3,37.167,5
ABT1,37.162,10
ZWINT,37.161,9
URI1,37.149,10
CDK5RAP3,37.141,10
GTSE1,37.141,9
RBBP7,37.141,4
YME1L1,37.141,9
ARHGAP19,37.125,10
ATRX,37.125,9
CCDC107,37.125,6
DDX17,37.125,10
LTF,37.125,4
POM121,37.125,10
SCAF1,37.125,10
SNX13,37.125,10
SGOL1,37.104,9
DDX39B,37.084,4
EEF1B2,37.071,9
NDUFB3,37.067,1
NVL,37.064,10
HIGD2A,37.051,10
TSR1,37.05,10
FAM60A,37.044,9
TBCA,37.044,5
SRSF11,37.015,9
HAUS6,37,10
NOL9,36.973,10
FLCN,36.958,5
TFG,36.958,5
TIMM8A,36.958,9
WARS2,36.958,5
UROD,36.957,4
MRPS35,36.937,10
PDCD6IP,36.904,4
KCMF1,36.885,5
KRTAP12-4,36.868,10
EIF3M,36.856,9
PPP6R3,36.846,5
SETD1A,36.829,10
TP53RK,36.825,10
PTPN23,36.776,5
CHKA,36.75,4
MKI67,36.75,9
SOD2,36.741,5
TRMT10C,36.693,9
RBM39,36.685,4
NELFA,36.671,10
RBBP5,36.662,9
PPP1CA,36.65,4
CYC1,36.641,9
MRPL35,36.641,4
AGPAT1,36.625,9
ASF1A,36.625,9
KIF2C,36.625,7
MEN1,36.625,3
MIS18A,36.625,10
NDUFB7,36.625,1
GID8,36.594,10
LARP7,36.594,9
UBE2A,36.594,9
MVD,36.572,5
BTF3L4,36.5,10
PTEN,36.5,4
RPL26L1,36.48,5
FAM72D,36.472,10
TRIP12,36.472,10
VDAC1,36.443,4
THRAP3,36.421,5
FURIN,36.382,4
MAPK1,36.375,2
NFYC,36.375,10
PLRG1,36.362,10
TBCC,36.338,9
TUBA3D,36.333,7
SIN3A,36.314,9
PNO1,36.295,10
VMP1,36.276,4
PPP1R10,36.254,9
C9orf172,36.25,10
CFDP1,36.25,9
DDX55,36.229,10
RIF1,36.229,5
TYRO3,36.229,4
EED,36.2,4
BOLA3,36.173,10
KRTAP21-1,36.161,10
MRPS6,36.156,10
CDH2,36.139,5
BCLAF1,36.135,10
SMC5,36.117,9
HDAC3,36.109,1
MT1E,36.099,9
ZC3H3,36.083,10
RQCD1,36.065,4
GNB1L,36.047,9
PCNT,36.047,9
CTPS1,36.045,9
CNTN1,36.031,5
PI4KA,36.031,4
NDUFS2,36.031,1
IRF2,36,9
DHX38,35.954,10
KAT5,35.949,4
SNAPC2,35.945,9
CHMP3,35.902,5
DDX5,35.896,5
TIMM44,35.865,4
TRMT5,35.864,10
EP300,35.864,3
RPIA,35.864,9
SNAPC4,35.863,9
HMGN5,35.838,10
STARD7,35.824,9
DNAJA3,35.822,6
GTF3C3,35.813,10
MRPL20,35.782,4
RBMX2,35.774,10
XRN1,35.762,5
ORC5,35.755,9
SEC11A,35.75,5
TMEM30A,35.75,5
TRIM8,35.75,10
MRPL55,35.731,10
DCP2,35.73,9
ANKFY1,35.667,5
C12orf10,35.667,5
