,0
800,MED11
801,MRPL38
802,NOL11
803,PSMB2
804,DHX37
805,AHCTF1
806,TFRC
807,ATP6V1A
808,MRPL46
809,ATP2A2
810,LCE1F
811,FARSA
812,ARMC7
813,TIMM44
814,KRT8
815,RPS5
816,RABGGTB
817,PNPT1
